cuento,archivo,trial_id,text,n_words,word_id,motivo_eliminacion
"Ahora debería reírme, si no estuviera muerto",sub-001.json,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0022",preguntó,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-001.json,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0023",funeraria.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-001.json,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0027",velaron.,1,"[1, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-002.json,"Ahora debería reírme, si no estuviera muerto::sub-002::seg_0010",vez,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-002.json,"Ahora debería reírme, si no estuviera muerto::sub-002::seg_0011",empezó a tejer.,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-002.json,"Ahora debería reírme, si no estuviera muerto::sub-002::seg_0013",empezó,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-002.json,"Ahora debería reírme, si no estuviera muerto::sub-002::seg_0021",hombre,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-002.json,"Ahora debería reírme, si no estuviera muerto::sub-002::seg_0022",divertía,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-002.json,"Ahora debería reírme, si no estuviera muerto::sub-002::seg_0030",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0000",marido más imbécil.,3,"[1, 3, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0017",cuenta,1,[1],input_menos_de_4_palabras
