rank,token,count,relative_frequency
1,.,64853,0.06107582658092903
2,",",50447,0.047508861942055516
3,que,17309,0.016300887889369814
4,la,16055,0.015119923453916018
5,de,14666,0.013811821698855952
6,el,9476,0.008924098078437134
7,##s,8132,0.007658375429912492
8,en,7382,0.006952056987655437
9,un,6674,0.006285292378164778
10,se,6581,0.0061977088913249025
11,los,6504,0.006125193531253179
12,[UNK],6280,0.005914239756499072
13,a,6163,0.005804054079506971
14,una,5492,0.0051721345131676595
15,había,5129,0.004830276387115245
16,##ba,4844,0.004561875379057564
17,##a,4595,0.004327377656228222
18,no,4414,0.0041569194721635195
19,##n,4378,0.004123016186935181
20,su,4378,0.004123016186935181
21,con,4313,0.004061801921939569
22,para,4293,0.0040429667634793815
23,por,4204,0.003959150308331544
24,las,4149,0.003907353622566027
25,##do,4097,0.0038583822105695375
26,y,3905,0.0036775646893517314
27,##ó,3806,0.0035843306549738
28,estaba,3682,0.003467552672520634
29,del,3655,0.00344212520859938
30,:,3481,0.0032782593299957434
31,##on,3115,0.0029335759301743008
32,lo,3098,0.0029175660454831406
33,cuando,2989,0.0028149144318751155
34,como,2902,0.002732981492573297
35,era,2797,0.0026340969106573094
36,más,2491,0.0023459189862164312
37,todo,2332,0.0021961794764579355
38,pero,2264,0.0021321399376932957
39,al,2113,0.0019899344913188754
40,porque,2093,0.0019710993328586873
41,##r,2090,0.0019682740590896593
42,##w,2079,0.0019579147219365555
43,##o,2074,0.0019532059323215086
44,le,2056,0.0019362542897073394
45,hasta,2048,0.001928720226323264
46,tenía,2037,0.0019183608891701605
47,##ban,2035,0.0019164773733241418
48,##mente,2019,0.0019014092465559913
49,después,1999,0.0018825740880958031
50,fue,1954,0.00184019498156038
51,casa,1936,0.0018232433389462105
52,##ado,1930,0.001817592791408154
53,bolsillos,1918,0.0018062916963320413
54,##ta,1899,0.0017883982957948624
55,sus,1805,0.0016998730510319783
56,##da,1770,0.0016669115237266492
57,también,1745,0.0016433675756514139
58,Pero,1678,0.0015802697948097838
59,sobre,1625,0.0015303566248902852
60,si,1608,0.0015143467401991253
61,##se,1511,0.001422996221667213
62,es,1505,0.0014173456741291566
63,##k,1500,0.0014126368845141094
64,ese,1491,0.0014041610632070248
65,desde,1484,0.001397568757745959
66,Cuando,1475,0.0013890929364388743
67,mi,1457,0.001372141293824705
68,##ita,1445,0.0013608401987485921
69,eso,1443,0.0013589566829025732
70,esa,1436,0.0013523643774415075
71,J,1436,0.0013523643774415075
72,me,1409,0.0013269369135202535
73,nunca,1390,0.0013090435129830748
74,dijo,1388,0.0013071599971370559
75,día,1388,0.0013071599971370559
76,vez,1364,0.00128455780698483
77,noche,1329,0.001251596279679501
78,todos,1317,0.0012402951846033881
